"Historical Data"
"From 2025-01-02 to 2026-01-01"
FR0003500008
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover
01/09/2025;7724.96;7744.64;7697.82;7707.90;7707.90;0;0;1857967792;
29/08/2025;7743.44;7764.29;7702.21;7703.90;7703.90;0;0;3125456851;
28/08/2025;7770.69;7833.04;7734.96;7762.60;7762.60;0;0;2964142435;
27/08/2025;7718.29;7765.17;7703.93;7743.93;7743.93;0;0;3012031384;
26/08/2025;7726.24;7749.24;7668.08;7709.81;7709.81;0;0;7648145954;
25/08/2025;7943.00;7946.07;7836.96;7843.04;7843.04;0;0;2559728148;
22/08/2025;7923.39;7997.35;7923.39;7969.69;7969.69;0;0;2423704986;
21/08/2025;7970.75;7970.75;7910.34;7938.29;7938.29;0;0;2242682151;
20/08/2025;7949.14;8004.34;7932.06;7973.03;7973.03;0;0;2664772387;
19/08/2025;7894.69;7986.81;7892.72;7979.08;7979.08;0;0;2611635206;
18/08/2025;7929.42;7929.42;7856.90;7884.05;7884.05;0;0;2304516372;
15/08/2025;7917.06;7945.27;7896.56;7923.45;7923.45;0;0;2929187665;
14/08/2025;7822.95;7871.39;7818.57;7870.34;7870.34;0;0;2558622212;
13/08/2025;7775.23;7819.69;7769.07;7804.97;7804.97;0;0;2839199073;
12/08/2025;7730.22;7759.74;7702.51;7753.42;7753.42;0;0;2599534898;
11/08/2025;7764.24;7764.24;7694.34;7698.52;7698.52;0;0;2363543302;
08/08/2025;7733.71;7770.89;7710.67;7743.00;7743.00;0;0;2722473423;
07/08/2025;7651.40;7737.63;7645.21;7709.32;7709.32;0;0;3282538951;
06/08/2025;7658.92;7672.15;7620.97;7635.03;7635.03;0;0;2833590325;
05/08/2025;7670.20;7670.20;7610.57;7621.04;7621.04;0;0;3034538594;
04/08/2025;7582.77;7632.77;7571.76;7632.01;7632.01;0;0;3317232060;
01/08/2025;7676.39;7691.12;7523.61;7546.16;7546.16;0;0;5211147200;
31/07/2025;7876.59;7906.37;7771.97;7771.97;7771.97;0;0;5480658940;
30/07/2025;7856.01;7921.61;7853.54;7861.96;7861.96;0;0;3550179603;
29/07/2025;7834.84;7924.62;7833.02;7857.36;7857.36;0;0;3548648951;
28/07/2025;7924.53;7931.15;7794.66;7800.88;7800.88;0;0;3281564736;
25/07/2025;7782.39;7851.46;7759.59;7834.58;7834.58;0;0;0;
24/07/2025;7873.50;7898.03;7797.28;7818.28;7818.28;0;0;3846052840;
23/07/2025;7839.71;7869.96;7816.27;7850.43;7850.43;0;0;3736401323;
22/07/2025;7775.04;7782.66;7726.74;7744.41;7744.41;0;0;2819033660;
21/07/2025;7825.73;7838.61;7757.68;7798.22;7798.22;0;0;2423752223;
